,Name,Age,Team,MP,Tot_Stats,OR%,DR%,TR%,ST%,BLK%,AST%,USG%,TO%,TS%,gBPM,BPM,VORP,L of Im,Q of Im,WinC,Value,Pos
107,Derrick Jones Jr.,22,MIA,56,1.8817704918032785,4.3,7.7,6.1,4.5,6.8,16.2,10.6,0.076,0.697,13.0,12.8,0.2,0.0,9.5,0.2,1.0,SF
108,Enes Kanter,27,BOS,68,1.3170588235294118,21.0,19.7,20.3,0.0,0.0,12.2,20.0,0.099,0.478,2.4,4.5,0.1,0.0,1.2,0.0,0.7,C
109,Michael Kidd-Gilchrist,26,DAL,55,0.583576923076923,3.9,8.0,6.0,0.9,1.6,6.9,13.8,0.057,0.421,0.7,-16.9,-0.2,0.0,-5.4,-0.0,0.3,SF
110,Maxi Kleber,28,DAL,203,3.254673893405601,5.3,15.8,10.5,0.5,3.0,5.5,10.2,0.083,0.452,4.6,-13.0,-0.6,0.0,-3.8,-0.1,1.6,C
111,Furkan Korkmaz,22,PHI,40,0.34756521739130436,0.0,16.6,8.1,1.3,0.0,7.2,12.2,0.179,0.163,-3.4,-60.8,-0.6,0.0,-16.2,-0.0,0.2,SG
112,Kyle Korver,38,MIL,119,1.8991437699680516,0.9,6.4,3.6,1.2,0.9,1.3,19.9,0.091,0.619,2.1,8.7,0.3,0.1,0.4,0.0,0.9,SF
113,Rodions Kurucs,21,BRK,58,1.1476015325670499,4.9,18.7,11.3,0.8,3.3,9.1,17.0,0.126,0.527,3.8,-40.0,-0.6,0.0,-5.6,-0.0,0.6,PF
114,Kyle Kuzma,24,LAL,195,3.7017000479156685,5.2,13.7,9.5,1.0,1.9,3.6,19.4,0.057,0.533,1.8,-0.6,0.1,0.0,0.4,0.0,1.9,PF
115,Romeo Langford,20,BOS,44,0.2678235294117647,0.0,7.0,3.8,1.1,0.0,3.3,13.2,0.155,0.46,-3.0,-0.9,0.0,0.0,-5.3,-0.1,0.1,SG
116,Vic Law,24,ORL,4,0.336,0.0,54.1,25.7,0.0,0.0,47.6,10.7,0.0,1.5,23.1,-5.9,-0.0,0.0,34.5,0.0,0.2,SF
117,Kawhi Leonard,28,LAC,386,17.05309698996656,5.9,21.8,14.1,2.9,2.2,24.1,29.8,0.098,0.61,12.4,25.3,2.6,0.1,5.1,0.5,8.8,SF
118,Meyers Leonard,27,MIA,9,0.08,0.0,0.0,0.0,0.0,0.0,28.9,10.0,0.0,0.0,-13.8,-14.0,-0.0,0.0,-10.6,-0.0,0.0,C
119,Caris LeVert,25,BRK,140,4.914142857142857,5.4,12.4,8.6,1.7,0.7,48.3,28.5,0.134,0.482,9.3,-34.5,-1.2,0.0,-4.0,-0.0,2.5,SG
120,Damian Lillard,29,POR,143,3.7285868568517575,0.7,9.6,5.2,0.7,0.6,19.8,27.0,0.151,0.618,5.4,-24.1,-0.8,0.0,-0.7,-0.0,1.9,PG
121,Brook Lopez,31,MIL,328,8.205798045602606,6.1,12.0,9.0,1.5,4.3,2.4,17.7,0.089,0.643,7.5,14.1,1.3,0.1,3.5,0.5,4.4,C
122,Robin Lopez,31,MIL,21,0.29200000000000004,0.0,20.8,10.2,0.0,0.0,0.0,8.2,0.0,0.75,-2.5,4.1,0.0,0.0,7.2,0.1,0.2,C
123,Kyle Lowry,33,TOR,372,11.735905077825976,2.0,17.6,9.6,2.5,2.3,24.4,21.4,0.138,0.571,9.8,17.7,1.8,0.1,2.9,0.3,6.0,PG
124,Timothé Luwawu-Cabarrot,24,BRK,131,1.8344243932794029,0.7,11.6,5.8,1.1,0.0,7.6,22.7,0.111,0.498,1.8,-42.0,-1.3,0.0,-7.2,-0.0,0.9,SG
125,Terance Mann,23,LAC,24,0.292,0.0,26.9,13.9,2.1,0.0,5.2,12.7,0.286,0.4,-3.5,9.4,0.1,0.0,-8.4,-0.0,0.1,SG
126,Boban Marjanović,31,DAL,82,2.729988221436985,7.9,39.1,23.3,0.0,2.1,9.3,19.4,0.081,0.604,2.2,-15.4,-0.3,0.0,0.5,0.0,1.4,C
127,Jeremiah Martin,23,BRK,27,0.5434459833795015,0.0,12.1,5.6,0.0,3.6,24.4,25.1,0.122,0.416,-1.4,-45.2,-0.3,0.0,-8.7,-0.0,0.3,PG
128,Frank Mason III,25,MIL,2,0.06,0.0,0.0,0.0,0.0,0.0,60.5,0.0,0.0,0.416,-18.4,-11.8,-0.0,0.0,23.9,0.0,0.0,PG
129,Wesley Matthews,33,MIL,246,3.572599348534202,2.6,5.3,3.9,1.8,1.8,5.0,12.0,0.102,0.586,5.8,12.4,0.9,0.1,1.1,0.1,1.8,SG
130,CJ McCollum,28,POR,196,4.788260581523739,2.7,12.9,7.8,1.5,0.9,14.6,26.3,0.121,0.534,4.6,-24.9,-1.1,0.0,-2.8,-0.0,2.4,SG
131,T.J. McConnell,27,IND,28,0.5783603603603603,0.0,25.7,12.5,0.0,0.0,38.3,17.9,0.184,0.394,-2.4,-51.6,-0.4,0.0,-6.3,-0.0,0.3,PG
132,Doug McDermott,28,IND,54,0.29733333333333334,0.0,6.7,3.3,0.9,0.0,2.7,13.6,0.062,0.333,-3.3,-52.5,-0.7,0.0,-12.0,-0.0,0.1,PF
133,JaVale McGee,32,LAL,94,3.2873333333333337,15.5,23.8,19.6,0.5,8.0,7.6,12.8,0.143,0.708,9.3,6.9,0.2,0.0,6.6,0.1,1.7,C
134,Rodney McGruder,28,LAC,14,0.46,8.2,15.4,11.9,0.0,0.0,10.7,15.5,0.0,0.8,8.4,21.3,0.1,0.0,10.6,0.0,0.2,SG
135,Ben McLemore,26,HOU,95,1.2948571428571427,2.3,8.3,5.2,1.6,0.0,7.5,13.6,0.034,0.464,2.2,7.5,0.2,0.0,-1.8,-0.0,0.6,SG
136,Khris Middleton,28,MIL,355,9.58796084698362,1.5,19.6,10.4,1.5,0.6,27.0,28.4,0.145,0.507,5.0,11.6,1.2,0.2,-1.0,-0.2,4.7,SF
137,Malcolm Miller,26,TOR,5,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,26.3,0.0,0.5,-6.7,1.2,0.0,0.0,-3.2,-0.0,-0.0,SF
138,Paul Millsap,34,DEN,250,5.246988505747127,7.2,12.9,10.0,1.9,2.9,7.0,16.4,0.145,0.575,5.9,16.7,1.2,0.0,-0.8,-0.0,2.6,PF
139,Shake Milton,23,PHI,126,2.1930569243840274,0.8,10.5,5.5,0.8,0.0,16.6,18.4,0.113,0.616,5.7,-51.7,-1.6,0.0,-1.0,-0.0,1.1,SG
140,Donovan Mitchell,23,UTA,264,10.269471838702607,2.7,12.6,7.8,1.4,0.7,25.6,37.5,0.137,0.696,10.5,2.7,0.3,0.0,2.1,0.1,5.2,SG
141,Juwan Morgan,22,UTA,86,1.2046120218579233,8.3,20.0,14.3,1.2,0.0,7.4,8.5,0.064,0.342,2.4,-5.4,-0.1,0.0,-2.6,-0.0,0.6,PF
142,Marcus Morris,30,LAC,296,6.834970976253299,3.1,14.2,8.8,1.7,0.3,8.5,14.4,0.071,0.709,7.8,20.7,1.7,0.1,6.3,0.4,3.6,PF
143,Markieff Morris,30,LAL,143,2.3057286914765904,3.1,18.7,10.9,0.7,1.3,6.2,10.9,0.083,0.555,3.4,1.0,0.1,0.0,1.4,0.0,1.2,PF
144,Monte Morris,24,DEN,250,4.969168014375562,1.3,8.6,4.9,1.5,0.4,18.8,17.4,0.063,0.517,3.3,14.1,1.0,0.0,-1.0,-0.0,2.5,PG
145,Emmanuel Mudiay,23,UTA,34,0.7151505376344086,3.5,16.9,10.3,0.0,2.9,8.8,21.9,0.063,0.437,-3.9,-11.7,-0.1,0.0,-5.0,-0.0,0.4,PG
146,Jamal Murray,22,DEN,422,13.565454607392267,3.5,11.4,7.3,1.2,0.7,31.3,28.1,0.096,0.622,11.0,21.8,2.5,0.1,1.7,0.1,6.8,PG
147,Džanan Musa,20,BRK,39,0.5324382284382284,2.4,5.6,3.9,0.0,2.5,14.6,21.3,0.149,0.408,-2.1,-45.9,-0.4,0.0,-8.7,-0.0,0.3,SF
148,Mike Muscala,28,OKC,20,0.262,0.0,20.2,10.5,0.0,0.0,7.1,4.3,0.0,0.75,2.7,-8.8,-0.0,0.0,9.5,0.0,0.1,C
149,Abdel Nader,26,OKC,25,0.5046091370558375,4.3,8.1,6.3,2.0,9.8,0.0,13.6,0.0,0.254,0.8,-10.7,-0.1,0.0,-8.1,-0.0,0.3,SF
150,Raul Neto,27,PHI,26,0.5462222222222222,0.0,12.7,6.2,1.9,0.0,20.0,16.8,0.1,0.444,2.0,-55.4,-0.4,0.0,-4.9,-0.0,0.3,PG
151,Georges Niang,26,UTA,114,2.1391087344028517,4.2,11.1,7.7,0.0,0.9,5.6,19.2,0.043,0.646,3.3,-4.5,-0.1,0.0,1.3,0.0,1.1,PF
152,Joakim Noah,34,LAC,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.646,0.0,12.9,0.0,0.0,-23.4,-0.0,0.0,C
153,Nerlens Noel,25,OKC,97,2.1441495327102804,5.6,25.0,15.6,1.0,6.3,4.6,10.4,0.085,0.491,4.4,-7.1,-0.1,0.0,0.4,0.0,1.1,C
154,Kendrick Nunn,24,MIA,81,1.3830554899645806,0.0,10.7,5.6,1.9,2.4,11.7,21.0,0.106,0.384,-2.3,-2.5,-0.0,0.0,-5.5,-0.2,0.6,SG
155,Jusuf Nurkić,25,POR,161,4.678085816448153,9.1,25.0,17.0,2.1,0.6,17.8,20.7,0.162,0.529,7.2,-22.3,-0.8,0.0,-0.7,-0.0,2.3,C
156,Royce O'Neale,26,UTA,249,3.6421755196304857,1.4,16.1,8.9,1.9,0.8,10.0,9.0,0.273,0.563,5.1,-2.7,-0.0,0.0,-3.4,-0.1,1.8,PF
157,Kyle O'Quinn,29,PHI,6,-0.092,0.0,18.4,9.0,0.0,0.0,24.1,14.5,1.0,0.563,-12.6,-70.0,-0.1,0.0,-20.4,-0.0,-0.0,C
158,Semi Ojeleye,25,BOS,90,0.5700036563071298,1.3,6.9,4.3,1.7,0.0,0.0,11.5,0.044,0.366,-2.2,-0.1,0.0,0.0,-5.9,-0.2,0.2,PF
159,Victor Oladipo,27,IND,123,2.7833020304568525,0.0,12.7,6.2,3.7,0.0,14.0,28.8,0.182,0.563,4.0,-45.2,-1.4,0.0,-4.7,-0.0,1.4,SG
160,Kelly Olynyk,28,MIA,105,4.114870445344129,6.9,38.0,23.4,1.0,3.6,16.5,20.7,0.185,0.696,9.0,8.8,0.3,0.0,4.3,0.2,2.2,C
161,Miye Oni,22,UTA,14,0.47533333333333333,17.1,16.4,16.7,3.8,6.9,0.0,23.4,0.143,0.583,2.4,-5.4,-0.0,0.0,0.2,0.0,0.2,SG
162,Patrick Patterson,30,LAC,10,0.7879999999999999,0.0,10.8,5.5,0.0,0.0,68.4,13.0,0.0,1.5,18.8,31.7,0.1,0.0,33.3,0.1,0.4,PF
163,Chris Paul,34,OKC,261,8.353051198963058,1.2,18.9,10.4,2.1,1.4,26.1,24.2,0.157,0.604,9.7,-1.8,0.0,0.0,1.4,0.0,4.2,PG
164,Norvel Pelle,26,PHI,7,0.24,0.0,0.0,0.0,7.2,13.4,0.0,0.0,0.0,0.604,16.5,-40.9,-0.1,0.0,-20.5,-0.0,0.1,C
165,Mason Plumlee,29,DEN,113,3.5894157782515994,19.9,24.4,22.0,1.9,7.2,18.1,9.6,0.21,0.48,11.9,22.7,0.7,0.0,3.4,0.1,1.8,C
166,Vincent Poirier,26,BOS,2,0.18,0.0,0.0,0.0,25.3,0.0,64.3,0.0,0.0,0.48,12.2,14.3,0.0,0.0,35.7,0.0,0.1,C
167,Michael Porter Jr.,21,DEN,279,7.363952830188679,6.4,26.6,16.2,1.7,1.5,4.6,21.4,0.092,0.56,3.5,14.3,1.1,0.0,-0.8,-0.0,3.7,PF
168,Kristaps Porziņģis,24,DAL,94,3.2595722266560254,3.4,27.1,15.1,0.0,2.8,3.3,24.3,0.056,0.708,4.5,-13.1,-0.3,0.0,3.2,0.0,1.6,PF
169,Norman Powell,26,TOR,241,4.792995179829441,1.3,9.2,5.1,1.2,0.9,7.4,21.2,0.077,0.63,4.9,12.8,0.9,0.1,2.5,0.1,2.4,SG
170,Josh Reaves,22,DAL,9,0.2784742268041237,0.0,24.6,12.1,0.0,9.8,14.8,23.3,0.205,0.515,1.0,-16.6,-0.0,0.0,-4.6,-0.0,0.1,SG
171,Josh Richardson,26,PHI,144,2.5845682102628285,2.9,8.4,5.6,0.7,1.3,16.3,21.8,0.111,0.524,4.8,-52.6,-1.9,0.0,-3.1,-0.0,1.3,SG
172,Austin Rivers,27,HOU,159,2.0356680497925312,1.3,14.2,7.6,1.6,0.6,7.8,14.9,0.094,0.353,-0.7,4.6,0.3,0.0,-6.4,-0.3,0.9,SG
173,Andre Roberson,28,OKC,3,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,14.4,0.0,0.0,-11.4,-22.9,-0.0,0.0,-23.3,-0.0,-0.0,SG
174,Duncan Robinson,25,MIA,237,3.829543374135178,0.5,11.4,6.3,1.1,0.8,8.5,16.3,0.128,0.632,4.9,4.7,0.4,0.1,1.2,0.1,2.0,SF
175,Rajon Rondo,33,LAL,84,3.2929466840052015,0.0,10.6,5.3,4.6,1.1,37.2,19.8,0.206,0.634,7.9,5.5,0.2,0.0,3.6,0.1,1.7,PG
176,Terrence Ross,28,ORL,135,2.992761687571266,0.7,16.8,8.4,1.4,0.8,6.7,24.7,0.102,0.584,2.9,-26.1,-0.8,0.0,-2.1,-0.0,1.5,SG
177,JaKarr Sampson,26,IND,50,1.124,2.3,28.8,15.2,2.0,0.0,14.3,16.6,0.111,0.625,4.3,-44.9,-0.5,0.0,-0.4,-0.0,0.6,SF
178,Dennis Schröder,26,OKC,227,4.508166666666666,1.0,10.7,6.0,0.9,0.5,19.7,26.0,0.124,0.504,2.6,-8.9,-0.4,0.0,-2.8,-0.1,2.2,PG
179,Mike Scott,31,PHI,20,0.47050887573964495,10.5,33.1,21.5,0.0,0.0,7.8,14.7,0.0,0.444,1.3,-56.1,-0.3,0.0,0.1,0.0,0.2,PF
180,Landry Shamet,22,LAC,204,3.2561884057971016,0.0,11.1,5.7,1.5,1.4,8.2,13.9,0.153,0.553,2.7,15.6,0.9,0.0,-1.7,-0.1,1.6,SG
181,Pascal Siakam,25,TOR,376,8.96864855687606,3.3,17.7,10.3,1.6,0.9,16.3,23.9,0.083,0.462,4.0,11.9,1.3,0.1,-1.0,-0.1,4.4,PF
182,Anfernee Simons,20,POR,82,1.917078212290503,1.3,12.9,7.1,3.5,0.0,17.8,16.6,0.123,0.471,5.0,-24.5,-0.5,0.0,-2.4,-0.0,1.0,SG
183,Marcus Smart,25,BOS,375,7.704499108734402,1.3,14.9,8.6,1.5,1.3,15.8,16.8,0.2,0.57,5.9,8.0,0.9,0.2,0.4,0.1,3.9,SG
184,J.R. Smith,34,LAL,57,-0.10400000000000005,0.0,0.0,0.0,0.9,0.0,6.6,20.3,0.259,0.35,-9.8,-12.2,-0.1,0.0,-11.2,-0.2,-0.2,SG
185,Edmond Sumner,24,IND,41,0.0993705583756345,2.8,14.6,8.6,0.0,0.0,0.0,11.1,0.202,0.381,-6.6,-55.8,-0.6,0.0,-11.3,-0.0,0.0,PG
186,Jayson Tatum,21,BOS,394,13.509893759286774,5.1,21.5,13.9,1.0,3.0,18.0,27.5,0.104,0.578,8.9,11.0,1.3,0.2,3.4,0.6,7.1,PF
187,Garrett Temple,33,BRK,137,1.6603315259488767,0.0,8.7,4.0,1.1,0.7,9.3,17.3,0.104,0.465,2.4,-41.4,-1.4,0.0,-8.2,-0.0,0.8,SG
188,Daniel Theis,27,BOS,280,7.063109461966605,6.0,19.9,13.4,0.9,4.9,9.0,15.3,0.094,0.58,7.2,9.3,0.8,0.1,3.9,0.5,3.8,C
189,Lance Thomas,31,BRK,17,0.23133727810650886,5.5,12.8,8.9,0.0,5.6,0.0,16.4,0.0,0.296,-5.7,-49.5,-0.2,0.0,-10.5,-0.0,0.1,SF
190,Matt Thomas,25,TOR,80,1.7879999999999998,1.3,16.7,8.8,0.6,1.3,13.2,11.5,0.048,0.7,5.8,13.7,0.3,0.0,6.7,0.1,0.9,SG
191,Matisse Thybulle,22,PHI,75,0.7559999999999999,1.4,8.8,5.0,2.0,1.2,4.1,5.2,0.222,0.5,4.1,-53.3,-1.0,0.0,-6.1,-0.0,0.4,SG
192,Gary Trent Jr.,21,POR,153,1.2584026622296174,3.4,3.5,3.4,1.3,0.0,2.9,14.5,0.094,0.499,2.4,-27.1,-1.0,0.0,-3.8,-0.0,0.6,SG
193,P.J. Tucker,34,HOU,353,6.509675675675676,6.4,18.2,12.1,1.8,0.6,6.4,10.8,0.129,0.588,7.6,12.9,1.3,0.1,2.4,0.2,3.4,PF
194,Rayjon Tucker,22,UTA,11,0.02,0.0,0.0,0.0,0.0,0.0,0.0,25.5,0.167,0.5,-9.6,-17.4,-0.0,0.0,-9.4,-0.0,0.0,SG
195,Myles Turner,23,IND,146,5.07925078369906,8.6,26.3,17.2,0.7,11.1,3.5,18.9,0.15,0.617,7.8,-41.4,-1.5,0.0,-1.0,-0.0,2.5,C
196,Fred VanVleet,25,TOR,385,11.60486187845304,1.4,11.5,6.3,2.3,1.4,28.5,22.8,0.095,0.541,9.1,17.0,1.8,0.1,2.4,0.2,5.9,PG
198,Noah Vonleh,24,DEN,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,0.0,0.0,-15.9,-5.1,-0.0,0.0,-25.4,-0.0,0.0,PF
199,Nikola Vučević,29,ORL,185,7.023977900552486,4.8,26.9,15.3,1.0,1.7,22.9,29.7,0.101,0.604,11.0,-18.0,-0.8,0.0,0.1,0.0,3.5,C
200,Dion Waiters,28,LAL,38,0.4912795031055901,0.0,5.9,2.9,1.3,2.5,6.8,15.6,0.072,0.388,-2.6,-5.0,-0.0,0.0,-5.0,-0.0,0.2,SG
201,Kemba Walker,29,BOS,369,10.156929945381146,0.6,10.3,5.8,1.4,1.1,24.7,22.6,0.092,0.6,7.7,9.8,1.1,0.2,4.2,0.7,5.4,PG
202,Brad Wanamaker,30,BOS,178,3.499334442595674,1.3,13.3,7.8,1.4,2.2,14.5,15.0,0.186,0.603,4.3,6.4,0.4,0.1,1.3,0.1,1.8,PG
203,T.J. Warren,26,IND,156,3.8187659811006114,3.7,15.4,9.4,2.9,0.6,13.9,24.4,0.133,0.556,5.7,-43.5,-1.6,0.0,-3.2,-0.0,1.9,SF
204,Tremont Waters,22,BOS,2,0.10800000000000001,0.0,51.6,27.7,0.0,0.0,64.3,22.5,0.0,0.0,1.6,3.7,0.0,0.0,-7.9,-0.0,0.1,PG
205,Paul Watson,25,TOR,9,0.22,0.0,0.0,0.0,5.4,0.0,15.8,9.7,0.0,0.5,0.9,8.8,0.0,0.0,3.8,0.0,0.1,SF
206,Russell Westbrook,31,HOU,185,5.3209399054692765,5.2,24.4,14.5,1.9,0.5,27.7,34.4,0.168,0.456,2.2,7.5,0.4,0.1,-3.3,-0.2,2.6,PG
207,Hassan Whiteside,30,POR,106,2.9665782493368704,6.9,27.9,17.4,0.5,8.5,2.9,14.2,0.166,0.564,3.8,-25.7,-0.6,0.0,-1.0,-0.0,1.5,C
208,Grant Williams,21,BOS,113,1.8787992895204264,5.3,10.0,7.8,0.0,2.6,7.9,9.8,0.082,0.866,7.8,9.9,0.3,0.1,12.2,0.6,1.2,PF
209,Lou Williams,33,LAC,273,6.8552816377171215,1.7,11.8,6.9,1.3,0.3,22.7,23.4,0.122,0.547,3.0,15.9,1.2,0.1,0.4,0.0,3.4,SG
210,Marvin Williams,33,MIL,179,4.376069536423841,7.7,21.3,14.4,1.4,1.8,7.1,12.3,0.058,0.569,6.2,12.8,0.7,0.1,3.9,0.3,2.3,PF
211,Robert Williams,22,BOS,104,3.248571428571429,16.0,20.8,18.6,1.0,4.7,14.1,13.5,0.192,0.714,10.2,12.3,0.4,0.0,7.1,0.3,1.8,C
212,Nigel Williams-Goss,25,UTA,2,0.06,0.0,0.0,0.0,0.0,0.0,61.1,0.0,0.0,0.714,-18.6,-26.4,-0.0,0.0,22.4,0.0,0.0,PG
213,Delon Wright,27,DAL,53,1.303672131147541,2.0,4.2,3.1,4.5,0.0,17.6,14.0,0.291,0.656,3.8,-13.8,-0.2,0.0,-2.2,-0.0,0.7,SG
214,Ivica Zubac,22,LAC,245,6.3237096774193535,10.2,21.1,15.8,0.2,3.1,3.4,14.8,0.108,0.706,4.5,17.4,1.2,0.1,26.2,1.5,3.9,C
