Rank,Name,Age,Team,MP,Tot_Stats,OR%,DR%,TR%,ST%,BLK%,AST%,USG%,TO%,TS%,gBPM,BPM,VORP,L of Im,Q of Im,WinC,Value,Pos
466,Paul Watson,25,TOR,70,2.057108014,3.1,19.5,11.5,2,1.2,10.3,15.9,0.116,0.675,6.4,-1.5,0,0.1,5.1,0.7,1.4,SF
467,Bruno Caboclo,24,HOU,52,2.220579505,12.6,20.6,16.7,4.7,8.2,5.9,22.8,0.209,0.618,9.9,4,0.1,0.1,2.1,0.3,1.3,C
468,Chris Chiozza,24,WAS,123,3.428823529,0,13.5,6.5,3.8,1.4,29.2,14.5,0.209,0.397,2.8,-4.4,-0.1,0.3,-3.1,-0.8,1.3,PG
469,Jaylen Hoard,20,POR,103,2.501641569,14.9,19.1,17,2.4,0,5.3,17.2,0.096,0.504,2.7,-2.7,0,0.2,0,0,1.3,SF
470,Juwan Morgan,22,UTA,134,2.045717579,8,14.8,11.5,0.4,1.3,6.2,11,0.178,0.648,3,-4.1,-0.1,0.4,1.6,0.6,1.3,PF
471,Jaylen Nowell,20,MIN,151,2.758404762,2,7.2,4.5,0.9,0.6,17.8,17.3,0.047,0.471,1.5,-7.2,-0.2,0.1,-1.6,-0.2,1.3,SG
472,Iman Shumpert,29,BRK,241,3.66140966,4.4,10.8,7.8,2.7,0.8,6.7,13.4,0.13,0.403,3.3,-1,0.1,0.3,-3.2,-1,1.3,SG
473,Dion Waiters,28,LAL,165,3.165389305,1.2,7.2,4.1,1.2,2.1,14.9,23.8,0.14,0.518,1.1,-5.1,-0.1,0.2,-2.2,-0.5,1.3,SG
474,DaQuan Jeffries,22,SAC,141,2.21660788,2.3,11.9,7,1.3,0.6,7.1,13.7,0.045,0.586,3.7,-3.5,-0.1,0.1,1.6,0.2,1.2,SG
475,Keita Bates-Diop,24,DEN,98,1.981061728,4.6,15.2,9.9,1,3.8,0,15.7,0.085,0.571,-0.6,-6.1,-0.1,0.2,0.9,0.2,1.1,SF
476,Bol Bol,20,DEN,87,2.379654321,6.5,18.4,12.5,1.2,6.4,9.8,21.2,0.236,0.617,4.9,-0.6,0,0.2,-0.3,-0.1,1.1,SF
477,Amir Coffey,22,LAC,159,2.471439837,2.6,7.7,5.2,1.5,1.1,12.3,17.6,0.12,0.493,0.7,-3.7,-0.1,0.3,-1.2,-0.3,1.1,SG
478,Tacko Fall,24,BOS,33,1.670600522,3.4,46.1,25.2,1.7,12.8,5.8,23.7,0.164,0.751,8.1,4.3,0.1,0.1,5.3,0.5,1.1,C
479,Malcolm Miller,26,TOR,162,2.141382534,1.3,9.1,5.3,1.4,1,8.9,9.6,0.11,0.538,2.9,-5,-0.1,0.3,0.5,0.1,1.1,SF
480,Johnathan Motley,24,LAC,41,1.747256637,7.7,17.3,12.6,3.5,0,32.9,23.5,0.217,0.774,11.5,7.1,0.1,0.1,6.5,0.4,1.1,PF
481,Mychal Mulder,25,GSW,204,2.584564471,1.5,10.7,5.9,0.4,0.4,5.8,16.2,0.065,0.533,3.4,-5.8,-0.2,0.2,-2.8,-0.4,1.1,SG
482,Yuta Watanabe,25,MEM,105,2.230831557,7.4,13.3,10.4,2.3,0.8,6.4,15.7,0.051,0.48,2.8,-2.2,0,0.2,-0.9,-0.1,1.1,SG
483,Melvin Frazier,23,ORL,126,2.234854586,1.7,6.8,4.3,3.5,1.3,3.4,14,0.123,0.559,4.3,-3.2,0,0.1,-1.6,-0.2,1,SG
484,Mfiondu Kabengele,22,LAC,64,1.719578947,1.6,15.9,8.9,1.5,2.7,4.9,23.7,0.055,0.614,4,-0.4,0,0.1,3.2,0.3,1,C
485,Dean Wade,23,CLE,71,1.907238095,4.3,25,14.3,1.4,5.1,4,9.9,0.182,0.744,5.7,-1.3,0,0,2.3,0,1,PF
486,Talen Horton-Tucker,19,LAL,81,1.863959698,2.5,6.7,4.5,4.8,1.1,10.5,19.7,0.159,0.535,4.9,-1.3,0,0.1,-1.2,-0.1,0.9,SG
487,Romeo Langford,20,BOS,370,4.279648352,4.6,7.6,6.2,1.2,2.3,4.5,11.8,0.108,0.434,1.6,-2.2,0,1.1,-2.3,-2.5,0.9,SG
488,Jordan McRae,28,DEN,32,0.968762887,3.6,14.3,8.9,3.1,2.9,15.6,10.5,0,0.58,9.4,3.9,0,0.1,8.1,0.6,0.8,SG
489,Miye Oni,22,UTA,109,1.972374269,4.9,11.5,8.3,1.7,1.6,5.1,15.3,0.105,0.512,2.6,-4.5,-0.1,0.3,-1.4,-0.4,0.8,SG
490,Rayjon Tucker,22,UTA,161,2.227289157,2,11,6.6,0.3,0.5,4.4,16.6,0.131,0.584,-0.7,-7.8,-0.2,0.5,-1.2,-0.6,0.8,SG
491,Oshae Brissett,21,TOR,135,1.945722772,7.3,13.2,10.3,1.4,0.6,7,15,0.148,0.458,0.8,-7.1,-0.2,0.3,-1.8,-0.5,0.7,SF
492,Deonte Burton,26,OKC,356,5.325283318,2.2,15.5,9,1,2.7,6.8,18.5,0.127,0.396,-1.9,-8.4,-0.6,0.7,-5.7,-3.9,0.7,SG
493,Amile Jefferson,26,ORL,74,1.647214286,14.4,18.9,16.7,0.7,3.4,7.2,13.5,0.13,0.372,1.6,-5.9,-0.1,0.1,-3,-0.2,0.7,PF
494,Michael Kidd-Gilchrist,26,CHO,160,2.448988764,5.9,19,12.1,0,1.8,9.5,17.6,0.109,0.421,-0.1,-8.9,-0.3,0.2,-5.3,-1,0.7,PF
495,Tyrone Wallace,25,ATL,160,2.257600622,2.1,13.1,7.6,2.3,0.6,10.9,16,0.163,0.389,0,-5.2,-0.1,0.1,-6.8,-0.8,0.7,SG
496,Justin Anderson,26,BRK,107,1.922366197,1.1,19.5,10.9,0,5.1,10.1,17.1,0.091,0.352,0.4,-3.9,-0.1,0.1,-4.7,-0.7,0.6,SF
497,Jarrell Brantley,23,UTA,96,2.418891967,2.2,19.5,11,1.5,4.5,15.8,16.3,0.195,0.416,2.1,-5,-0.1,0.3,-4.5,-1.2,0.6,PF
498,Adam Mokoka,21,CHI,112,1.128172043,6.9,3.1,5.1,1.8,0,5,12.1,0.063,0.538,4.3,-4.2,-0.1,0.1,0.1,0,0.6,SG
499,Joakim Noah,34,LAC,50,1.168277778,10.5,22.4,16.5,1,1.7,17.9,14.7,0.342,0.608,3.5,-0.9,0,0.1,0.8,0.1,0.6,C
500,Dion Waiters,28,MIA,42,1.221040847,0,27.4,14.3,0,4.3,12.5,30.9,0.102,0.53,1.5,-4.5,0,0.1,-1.4,-0.1,0.6,SG
501,Tyler Cook,22,CLE,35,1.031202532,11.7,19,15.2,1.4,0,4.5,16.7,0.073,0.752,5.7,-1.3,0,0,6.9,0,0.5,PF
502,Wenyen Gabriel,22,SAC,61,1.117383178,7.1,11,9,2.3,2.9,6.6,18.8,0.189,0.444,1,-6.2,-0.1,0.1,-4.5,-0.2,0.5,PF
503,KZ Okpala,20,MIA,26,0.706666667,4.4,16.1,10.5,3.8,3.5,5.5,11.7,0.145,0.595,6.3,0.3,0,0.1,3,0.2,0.5,SF
504,Andre Roberson,28,OKC,87,1.683737617,9.1,25.4,17.4,0.6,3.3,6.3,16.1,0.063,0.335,-0.2,-6.7,-0.1,0.2,-3.9,-0.7,0.5,SG
505,Sindarius Thornwell,25,NOP,35,0.913253918,0,12.1,6.2,1.4,2.6,16.1,17.3,0.136,0.627,4.4,-1,0,0.1,0.3,0,0.5,SG
506,Jarrod Uthoff,26,WAS,39,0.609090909,2.7,11.3,6.9,0,0,0,11.7,0,0.682,0,-7.2,-0.1,0.1,3.8,0.3,0.5,SF
507,Noah Vonleh,24,DEN,30,0.69956701,11.4,19.1,15.2,0,0,9.5,14.1,0.205,0.838,5.4,-0.1,0,0.1,5.1,0.4,0.5,PF
508,Charlie Brown,22,ATL,40,0.929358491,5.5,5.5,5.5,2.6,4.8,7.3,25.1,0.124,0.472,2,-3.2,0,0,-3.9,-0.1,0.4,SG
509,Vlatko Čančar,22,DEN,45,0.844868735,12.6,12.7,12.7,1.1,2.1,9.1,19.1,0.152,0.507,2.8,-2.7,0,0.1,-0.5,-0.1,0.4,SF
510,DeMarre Carroll,33,SAS,135,2.004190476,5.5,18.5,12,0.7,1.2,10.1,15.3,0.209,0.437,-0.2,-7.1,-0.2,0.3,-5,-1.3,0.4,SF
511,Donta Hall,22,DET,48,0.748433735,12.6,20.7,16.4,0.9,1.9,5.3,7.9,0.231,0.452,3,-4.5,0,0,-0.2,0,0.4,PF
512,Dewan Hernandez,23,TOR,28,0.853975309,19.5,33.8,26.8,1.7,0,16.4,29.3,0.156,0.432,0.7,-7.2,0,0.1,-0.8,0,0.4,C
513,B.J. Johnson,24,ORL,83,1.394505495,3.9,15.6,9.7,1.8,0,5.1,22.1,0.142,0.412,-3.8,-11.3,-0.2,0.1,-6.1,-0.6,0.4,SF
514,Jordan McRae,28,DET,98,1.378648443,0,16.9,8.1,0,0,10.7,25.7,0.087,0.446,-3.5,-11,-0.2,0.1,-5.1,-0.5,0.4,SG
515,Jeremy Pargo,33,GSW,44,0.821040998,2.3,5,3.6,1,0,33.2,25.7,0.151,0.557,1.7,-7.5,-0.1,0,-3.2,-0.1,0.4,PG
516,Chandler Parsons,31,ATL,54,1.093777778,2.1,12.3,7.2,3.9,1.8,7.5,16.1,0.143,0.389,3.2,-2,0,0,-6.8,-0.3,0.4,SF
517,Luka Šamanić,20,SAS,48,1.048288288,2.2,19.5,10.9,0,3.4,16.3,17.8,0.101,0.45,1.7,-5.2,0,0.1,-3,-0.3,0.4,PF
518,Kostas Antetokounmpo,22,LAL,20,0.39657732,10.1,5.4,7.9,0,0,13.7,10.3,0.205,0.902,5.4,-0.8,0,0,7.6,0.2,0.3,PF
519,Jonah Bolden,24,PHO,33,0.705081081,9.5,16.3,12.9,2.9,5.2,0,11.4,0,0.338,0.3,-5.6,0,0.1,-1.9,-0.1,0.3,PF
520,Corey Brewer,33,SAC,33,0.717984962,6.6,20.3,13.3,5.7,0,7.7,9.6,0.273,0.47,6.5,-0.7,0,0,-2.1,-0.1,0.3,SG
521,Devon Hall,24,OKC,81,1.514663484,2.8,6.8,4.8,2.4,1.2,21.3,20.9,0.13,0.298,-2.4,-8.9,-0.1,0.2,-6.4,-1,0.3,SG
522,Udonis Haslem,39,MIA,44,0.773705329,2.6,35.7,19.9,0,0,3.2,13.8,0.073,0.47,-4.2,-10.2,-0.1,0.1,-0.8,-0.1,0.3,PF
523,Kevin Hervey,23,OKC,52,1.170074074,2.2,23.4,12.9,0.9,1.8,13.9,22.8,0,0.315,-1.5,-8,-0.1,0.1,-5.3,-0.5,0.3,PF
524,Louis King,20,DET,62,0.898422939,1.6,16,8.5,1.4,0,11.8,17.1,0.082,0.448,0.3,-7.2,-0.1,0.1,-4,-0.2,0.3,SF
525,Josh Magette,30,ORL,38,0.889360202,2.8,14.2,8.5,3.8,2.2,19.2,23.7,0.239,0.378,-0.5,-8,-0.1,0,-6.9,-0.3,0.3,PG
526,Eric Mika,25,SAC,19,0.32156701,11.4,29.4,20.3,0,0,0,8.9,0,0.773,-1.8,-9,0,0,12.1,0.2,0.3,PF
527,Naz Mitrou-Long,26,IND,47,1.086588235,0,16.5,8.5,1.1,1.8,22.8,18.7,0.15,0.412,0.8,-4.8,0,0.1,-4.4,-0.4,0.3,SG
528,Matt Mooney,22,CLE,19,0.544,0,17.5,8.4,5.1,4.7,6.7,9,0,0.25,5.7,-1.3,0,0,-7,0,0.3,SG
529,Shamorie Ponds,21,TOR,11,0.483510204,0,9.5,4.9,0,7.6,32.4,22.8,0,0.765,13.8,5.9,0,0,11.8,0.2,0.3,PG
530,Chasson Randle,26,GSW,40,0.591301205,0,5.5,2.6,2.2,0,15.7,7.1,0,0.377,1.6,-7.6,-0.1,0,-0.6,0,0.3,PG
531,Justin Robinson,22,WAS,49,0.861666667,2.1,9,5.5,0,1.7,18.8,12.7,0.2,0.542,0.2,-7,-0.1,0.1,-2.1,-0.2,0.3,PG
532,Derrick Walton,24,DET,26,0.648,0,4.2,2,5.1,0,24.8,6.7,0.25,0.5,3.4,-4.1,0,0,2,0,0.3,PG
533,Tremont Waters,22,BOS,119,2.465291698,0,11,5.6,4.6,1.8,18.3,24.2,0.222,0.381,-0.3,-4.1,-0.1,0.4,-5.3,-1.9,0.3,PG
534,Nigel Williams-Goss,25,UTA,50,1.000227488,4.3,8.3,6.4,2.9,1.7,16.4,17.4,0.151,0.415,1.6,-5.5,0,0.1,-3.5,-0.5,0.3,PG
535,Ryan Anderson,31,HOU,14,0.567428571,0,53.7,27.1,3.5,0,20.4,23.7,0.125,0.357,1.7,-4.2,0,0,-4,-0.1,0.2,C
536,Jordan Bell,25,MEM,21,0.437807107,10.5,5.1,7.8,2.3,0,12.9,21.6,0.276,0.635,3.7,-1.3,0,0,-2,-0.1,0.2,PF
537,Moses Brown,20,POR,33,0.750994083,10,36.4,23.2,1.5,2.7,4,21.2,0.182,0.407,-5.6,-11,-0.1,0.1,-5.4,-0.3,0.2,C
538,Devontae Cacok,23,LAL,9,0.42,22.5,36.2,29.1,0,0,20.3,28.1,0,0.5,6.5,0.3,0,0,3,0,0.2,C
539,Zylan Cheatham,24,NOP,51,0.612,6.5,12.5,9.5,1,1.8,7.7,10.4,0.308,0.667,3.2,-2.2,0,0.1,-2.3,-0.2,0.2,SF
540,Tyler Cook,22,DEN,19,0.423111111,12,12,12,5.3,0,0,11.2,0.41,0.694,2.3,-3.2,0,0,-0.4,0,0.2,PF
541,Jamal Crawford,39,BRK,6,0.265,0,0,0,0,0,100.3,27.9,0,0.625,2.7,-1.6,0,0,9,0.1,0.2,SG
542,Jerian Grant,27,WAS,80,0.992707447,2.6,5.5,4,0.6,1,15.3,17.2,0.091,0.449,-0.7,-7.9,-0.1,0.2,-3.3,-0.6,0.2,PG
543,Vic Law,24,ORL,62,0.846023256,3.4,15.6,9.5,1.6,0,6.7,15.8,0.088,0.363,-1.4,-8.9,-0.1,0.1,-6.5,-0.4,0.2,SF
544,Zach Norvell,22,GSW,36,0.554825175,0,15.2,7.3,2.5,0,11.7,17.1,0.208,0.437,0.4,-8.8,-0.1,0,-7.1,-0.2,0.2,SG
545,Lance Thomas,31,BRK,98,0.769266559,2.4,11.7,7.3,0,0,8.2,13.1,0.195,0.485,-0.6,-4.9,-0.1,0.1,-3.2,-0.4,0.2,SF
546,Justin Wright-Foreman,22,UTA,45,0.911801471,0,11.6,5.9,2.1,0,23,24.1,0.121,0.437,-0.7,-7.8,-0.1,0.1,-3.7,-0.5,0.2,PG
547,Marques Bolden,21,CLE,3,0.176,0,74,35.6,16.2,0,0,0,0,0.338,9.3,2.3,0,0,-13.8,0,0.1,C
548,Jordan Bone,22,DET,53,0.616,0,8.3,4,0.8,0,21,18.1,0.091,0.3,-5,-12.5,-0.1,0,-8.3,-0.4,0.1,PG
549,Ignas Brazdeikis,21,NYK,53,0.638842975,3.8,6,4.8,0,1.6,10.6,21,0.076,0.351,-3.9,-13,-0.1,0.1,-7.5,-0.4,0.1,SF
550,Troy Daniels,28,DEN,76,0.910857143,0,9,4.5,2,0,5.4,17.7,0.097,0.464,0.1,-5.4,-0.1,0.2,-4,-0.7,0.1,SG
551,Henry Ellenson,23,BRK,15,0.319428571,15.7,27.8,22.1,0,0,8.7,19.5,0,0.143,-6.2,-10.5,0,0,-8.7,-0.2,0.1,PF
552,Kyle Guy,22,SAC,10,0.132,0,11.2,5.5,0,0,15.6,21.7,0,0.4,-2.8,-10,0,0,-5.1,0,0.1,SG
553,Dusty Hannahs,26,MEM,13,0.299497976,0,8.3,4.2,0,0,0,31.6,0,0.607,-3.9,-8.9,0,0,0.6,0,0.1,SG
554,Tariq Owens,24,PHO,15,0.278421769,14,7.2,10.6,3.2,0,0,16.7,0,0.34,-3.1,-9,0,0,-2.7,-0.1,0.1,PF
555,Max Strus,23,CHI,6,0.153348837,18.4,0,9.5,0,0,0,24.4,0,0.727,4.7,-3.8,0,0,6.6,0,0.1,SG
556,Caleb Swanigan,22,SAC,23,0.358459016,9.4,24.3,16.8,2,7.6,11.5,20.5,0.551,0.512,-1.1,-8.3,0,0,-8.6,-0.2,0.1,PF
557,Khyri Thomas,23,DET,61,0.416102345,1.6,0,0.9,2.2,0,6.7,15.6,0.138,0.453,-0.3,-7.8,-0.1,0.1,-5.6,-0.3,0.1,SG
558,Anthony Tolliver,34,SAC,82,0.998604027,2.6,12.2,7.4,2.3,1.1,4.5,11.6,0.183,0.252,-0.4,-7.6,-0.1,0.1,-11,-0.8,0.1,PF
559,Jarred Vanderbilt,20,DEN,41,0.749714286,8.3,13.9,11.1,3.7,2.3,6.6,14.8,0.5,0.714,3,-2.5,0,0.1,-5.2,-0.5,0.1,SF
560,Paul Watson,25,ATL,17,0.356,0,13,6.5,3.1,0,21.1,17.1,0,0,-7,-12.2,0,0,-17.2,-0.2,0.1,SG
561,Tyler Zeller,30,SAS,4,0.212,79.1,26,52.3,0,0,0,43.2,0,0.25,-24.2,-31.1,0,0,-3.8,0,0.1,C
562,Kyle Alexander,23,MIA,13,0.104,17.6,8.1,12.6,0,0,0,10.2,0.333,0.5,-4.3,-10.3,0,0,-2.4,-0.1,0,PF
563,Allen Crabbe,27,MIN,131,0.718224771,0.8,9.1,4.8,0,0,5.1,12.5,0.125,0.416,-1.4,-10.1,-0.3,0.1,-7.8,-0.8,0,SG
564,J.P. Macura,24,CLE,1,0,0,0,0,0,0,0,0,0,0.5,0,-7,0,0,-24.6,0,0,SG
565,Luc Mbah a Moute,33,HOU,25,0.381034014,4.4,4.3,4.3,3.9,0,0,11.4,0.145,0.425,0.3,-5.6,0,0.1,-5.6,-0.4,0,PF
566,Malik Newman,22,CLE,4,-0.012222222,0,0,0,0,0,0,41.5,0.258,0.347,-22.6,-29.6,0,0,-13,0,0,SG
567,Justin Patton,22,OKC,24,0.282,4.7,18.5,11.7,0,0,12.6,22,0.167,0.45,-3.4,-9.9,0,0,-4.5,-0.2,0,C
568,Josh Reaves,22,DAL,28,0.253554656,4.1,7.7,5.9,0,0,14.2,15.1,0,0.405,-1.8,-5.2,0,0.1,-2.2,-0.2,0,SG
569,Marial Shayok,24,PHI,28,0.411872093,3.8,23.4,13.5,0,3.2,4.8,25.8,0.179,0.4,-7.2,-14.3,-0.1,0.1,-7,-0.4,0,SG
570,Zhaire Smith,20,PHI,32,0.43631348,0,6.8,3.4,4.7,0,8.2,19.9,0.136,0.313,-3.4,-10.5,-0.1,0.1,-8.2,-0.5,0,SG
571,Jarrod Uthoff,26,MEM,14,0.168609137,7.9,0,3.9,3.5,0,0,23.4,0,0.254,-7.2,-12.2,0,0,-9,-0.2,0,SF
572,Jarred Vanderbilt,20,MIN,5,0.090553191,0,21.7,10.4,0,0,0,15.5,0,0.532,-3.9,-12.6,0,0,1.5,0,0,PF
573,Quinndary Weatherspoon,23,SAS,78,1.117073826,1.4,8,4.7,1.8,1,17.5,12.7,0.219,0.336,-1.8,-8.7,-0.1,0.1,-7.2,-1.1,0,SG
574,Jonah Bolden,24,PHI,14,0.010474227,0,7.8,3.8,3.6,0,0,18.1,0.34,0.515,-4.9,-12,0,0,-10.2,-0.3,-0.1,PF
575,Brian Bowen,21,IND,31,0.368,3.8,21.5,12.8,0,2.7,0,15.6,0.091,0.3,-10.2,-15.8,-0.1,0.1,-9.4,-0.6,-0.1,SG
576,Joe Chealey,24,CHO,33,0.390152284,0,0,0,5.9,0,3.9,13.2,0.202,0.127,-2.4,-11.2,-0.1,0,-16.3,-0.6,-0.1,PG
577,Antonius Cleveland,25,DAL,46,0.625382716,5,11.7,8.4,1.2,6.3,2.8,16.9,0.11,0.34,-2.4,-5.8,0,0.1,-7.2,-0.9,-0.1,SG
578,Jacob Evans,22,MIN,4,0,0,0,0,0,0,0,10.3,0,0,-8.2,-16.9,0,0,-24.3,-0.1,-0.1,SG
579,Dante Exum,24,UTA,83,1.11841206,3.9,11.3,7.7,0.6,2.1,11.9,17.8,0.295,0.503,-2,-9.1,-0.1,0.2,-6.1,-1.4,-0.1,SG
580,Jared Harper,22,PHO,8,0.02,0,0,0,0,0,0,21.3,0,0.25,-12.4,-18.3,0,0,-12.9,-0.2,-0.1,PG
581,Jalen Lecque,19,PHO,32,0.199823529,0,6.7,3.3,0,0,8.6,17.1,0.155,0.46,-4.7,-10.6,-0.1,0.1,-6.1,-0.4,-0.1,PG
582,Daryl Macon,24,MIA,14,0,0,0,0,0,0,9.7,15.7,0.4,0.5,-9.4,-15.4,0,0,-9,-0.3,-0.1,SG
583,Zach Norvell,22,LAL,5,0.048,0,21.7,10.5,0,0,0,8.4,0,0,-11.9,-18.1,0,0,-22.2,-0.2,-0.1,SG
584,Gabe Vincent,23,MIA,83,1.181621622,0,6.3,3.3,3,0,10.1,20.2,0.026,0.297,-2.9,-8.9,-0.1,0.2,-6.5,-1.3,-0.1,PG
585,Isaiah Roby,21,OKC,11,0.016,0,20.1,10.2,0,0,0,8,0.5,0,-10.6,-17.1,0,0,-21.7,-0.5,-0.2,SF
586,J.R. Smith,34,LAL,79,0.432622378,0,6.9,3.3,0.6,0,4.8,14.3,0.149,0.372,-3.9,-10.1,-0.2,0.1,-8.2,-0.9,-0.2,SG
587,Josh Gray,26,NOP,23,0.016,4.8,4.6,4.7,0,0,10.4,12.5,0.714,0.5,-6.5,-11.9,-0.1,0,-14.6,-0.6,-0.3,PG
588,William Howard,26,HOU,13,0.076,0,16.5,8.3,0,0,9.1,15.9,0.2,0,-10.8,-16.7,0,0,-20.2,-0.7,-0.3,PF
589,Stanton Kidd,27,UTA,15,0.004,0,20.8,10.6,0,0,8,14.6,0.4,0,-11.8,-18.9,-0.1,0,-20.1,-0.9,-0.4,SF
590,Michael Kidd-Gilchrist,26,DAL,121,1.445473684,4.7,24,14.7,0.9,2.4,4,8.5,0.372,0.395,-0.4,-3.8,-0.1,0.3,-7.8,-2.5,-0.5,SF
591,Michael Frazier,25,HOU,145,0.174675768,0.8,6.7,3.7,0.7,0,1.7,11.5,0.125,0.384,-2.1,-8,-0.2,0.4,-8.1,-3.1,-1.5,SG
